,count,kewword,keep
346,57,Copyright -- United States -- Catalogs,
147,50,"Netherlands -- History -- Eighty Years' War, 1568-1648",
243,41,English fiction -- 19th century,1
408,24,English wit and humor -- Periodicals,
97,20,French essays -- Translations into English,
240,19,"Quotations, French -- Translations into English",
427,19,Ireland -- Social life and customs -- Fiction,
57,18,Crime,
239,17,Quotations,
862,17,Questions and answers -- Periodicals,
274,15,American poetry -- 19th century,
614,15,"Children's literature, American -- Periodicals",
71,14,"Short stories, French -- Translations into English",
113,13,Paris (France) -- Fiction,
235,13,American poetry,
804,13,Free thought,
283,12,English fiction -- 19th century,1
10,11,English language -- Dictionaries,
91,11,Conduct of life,
220,10,Apocryphal books (New Testament),
221,10,Folklore -- United States,
260,10,Bible -- Illustrations,
729,10,Scottish Borders (Scotland) -- Fiction,
130,9,Adventure and adventurers -- Fiction,
157,9,"United States -- History -- Civil War, 1861-1865 -- Fiction",
207,9,Canadian fiction,
600,9,Questions and answers -- Periodicals,
128,8,English fiction -- 19th century,1
131,8,English fiction -- 19th century,1
133,8,English fiction -- 19th century,1
216,8,Fiction,
244,8,English fiction -- 19th century,
245,8,Brigands and robbers -- Fiction,
890,8,English wit and humor -- Periodicals,
86,7,American wit and humor,
156,7,Fiction,
185,7,"Ebers, Georg, 1837-1898",
210,7,Canadian fiction,
211,7,Society of Friends -- Fiction,
215,7,Canadian fiction -- 20th century,
242,7,"Great Britain -- History -- Anne, 1702-1714 -- Fiction",
251,7,England -- Social life and customs -- 19th century -- Fiction,
289,7,American wit and humor -- Periodicals,
335,7,Popular literature -- Great Britain -- Periodicals,
567,7,United States -- Social life and customs -- 19th century -- Fiction,1
593,7,Russian drama -- Translations into English,
112,6,French fiction -- Translations into English,
151,6,England -- Drama,1
186,6,Caricatures and cartoons -- Great Britain,
194,6,Athens (Greece) -- History,
214,6,Québec (Province) -- Fiction,
238,6,Quotations,
241,6,"Aram, Eugene, 1704-1759 -- Fiction",
271,6,Physicians -- Fiction,
276,6,American poetry -- 19th century,
282,6,English fiction,
305,6,Rome -- History,
328,6,Popular literature -- Great Britain -- Periodicals,
350,6,France -- History,
506,6,Fiction,
573,6,"Children's literature, American -- Periodicals",
578,6,"Short stories, Canadian",
580,6,"Children's literature, American -- Periodicals",
725,6,Paris (France) -- Fiction,
836,6,"Children's literature, American -- Periodicals",
851,6,Questions and answers -- Periodicals,
853,6,"Children's literature, American -- Periodicals",
78,5,Words and phrase lists -- English,
107,5,Paris (France) -- Fiction,
114,5,French fiction -- Translations into English,
115,5,Japan -- Fiction,
204,5,Oceania -- Fiction,
206,5,Canada -- History -- To 1763 (New France) -- Fiction,
226,5,"Thirty Years' War, 1618-1648",
236,5,"Ballads, English -- Texts",
252,5,Fiction,
286,5,"Cooking, American",
290,5,American wit and humor -- Periodicals,
322,5,Popular literature -- Great Britain -- Periodicals,
323,5,Popular literature -- Great Britain -- Periodicals,
361,5,English wit and humor -- Periodicals,
364,5,Popular literature -- Great Britain -- Periodicals,
562,5,Fiction,
621,5,Questions and answers -- Periodicals,
691,5,Periodicals,
24,4,French fiction -- Translations into English,
35,4,"English poetry -- Early modern, 1500-1700",
38,4,Science -- History,
41,4,French fiction -- Translations into English,
42,4,English essays,
62,4,English drama,1
88,4,American drama -- 20th century,
108,4,Villages -- France -- Fiction,
109,4,Paris (France) -- Fiction,
116,4,Paris (France) -- Fiction,
135,4,English fiction -- 19th century,
142,4,"Motley, John Lothrop, 1814-1877",
146,4,English poetry,
188,4,"Great Britain -- History -- Civil War, 1642-1649 -- Fiction",
205,4,Canadian fiction,
212,4,Canadian poetry,
228,4,Poetry,
280,4,English poetry,
318,4,Popular literature -- Great Britain -- Periodicals,
336,4,Popular literature -- Great Britain -- Periodicals,
345,4,Popular literature -- Great Britain -- Periodicals,
347,4,Popular literature -- Great Britain -- Periodicals,
348,4,Popular literature -- Great Britain -- Periodicals,
359,4,English wit and humor -- Periodicals,
401,4,Catholic Church -- Catechisms -- English,
421,4,"Epic literature, Sanskrit",
423,4,Questions and answers -- Periodicals,
425,4,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
429,4,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
461,4,English periodicals,
482,4,Questions and answers -- Periodicals,
486,4,Science fiction,
504,4,Fiction,
507,4,England -- Social life and customs -- 19th century -- Fiction,1
586,4,"Children's poetry, English",
587,4,Science fiction,
592,4,Biography,
599,4,Questions and answers -- Periodicals,
768,4,English wit and humor -- Periodicals,
845,4,Fiction,
863,4,Questions and answers -- Periodicals,
864,4,Plotinus,
909,4,Periodicals,
50,3,"France -- History -- Revolution, 1789-1799",
52,3,Mathematics,
60,3,English drama,1
63,3,English drama,1
72,3,American fiction -- 19th century,
73,3,Essays,
74,3,Essays,
124,3,English fiction -- 19th century,1
125,3,English fiction -- 19th century,1
134,3,English fiction -- 19th century,1
150,3,"Leonardo, da Vinci, 1452-1519 -- Notebooks, sketchbooks, etc.",
155,3,Finnish poetry -- Translations into English,
195,3,English essays,
203,3,Canadian fiction,
213,3,"Love poetry, Canadian",
218,3,"Rome -- History -- Empire, 30 B.C.-284 A.D.",
223,3,Ireland -- History,
237,3,Quotations,
259,3,Normandy (France) -- Description and travel,
266,3,Bible. John,
275,3,Slavery -- United States -- Poetry,
284,3,Popular literature -- Great Britain -- Periodicals,
287,3,American wit and humor -- Periodicals,
291,3,Death -- Fiction,
294,3,American wit and humor -- Periodicals,
300,3,History,
304,3,History,
312,3,American periodicals,
313,3,Popular literature -- Great Britain -- Periodicals,1
316,3,Popular literature -- Great Britain -- Periodicals,1
317,3,Popular literature -- Great Britain -- Periodicals,1
327,3,Popular literature -- Great Britain -- Periodicals,1
338,3,Popular literature -- Great Britain -- Periodicals,1
340,3,Science -- Periodicals,
341,3,Questions and answers -- Periodicals,
344,3,Science -- Periodicals,
358,3,American periodicals,
362,3,Popular literature -- Great Britain -- Periodicals,1
366,3,Popular literature -- Great Britain -- Periodicals,1
367,3,Popular literature -- Great Britain -- Periodicals,1
369,3,English wit and humor -- Periodicals,
371,3,Popular literature -- Great Britain -- Periodicals,
412,3,Science -- Periodicals,
415,3,Fiction,
419,3,English wit and humor -- Periodicals,
422,3,"World War, 1914-1918",
432,3,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
454,3,Egypt -- History,
455,3,"Guitar music, Arranged",
471,3,Bahai Faith,
488,3,Indians of North America -- Folklore,
493,3,Love stories,
535,3,New England -- Social life and customs -- Fiction,1
537,3,Fiction,
540,3,Short stories,
542,3,Short stories,
552,3,Manners and customs -- Fiction,
594,3,Adventure and adventurers -- Fiction,
603,3,Ranches -- Juvenile fiction,
607,3,Encyclopedias and dictionaries,
623,3,Erotic stories,
632,3,Indexes,
636,3,Indexes,
638,3,English poetry -- 19th century,
648,3,Mysticism,
659,3,Free thought,
660,3,Free thought,
669,3,Architecture -- Italy -- Venice,
690,3,Fiction,
695,3,English poetry,
717,3,German fiction -- Translations into English,
727,3,Encyclopedias and dictionaries,
732,3,Canadian poetry,
739,3,Fiction,
746,3,German fiction -- Translations into English,
751,3,German fiction -- Translations into English,
752,3,Fiction,
755,3,Mystery fiction,
760,3,Encyclopedias and dictionaries,
762,3,Farm life -- Fiction,
765,3,Social classes -- England -- Fiction,
775,3,"Denmark -- History -- Erik Menved, 1286-1319 -- Fiction",
777,3,England -- Social conditions -- 19th century -- Fiction,1
778,3,Germany -- Description and travel,
785,3,Esperanto -- Periodicals,
793,3,Families -- Fiction,
801,3,Fiction,
811,3,"Guise, Henri, duc de, 1550-1588 -- Fiction",
816,3,Canadian poetry,
817,3,Esperanto -- Periodicals,
823,3,England -- Social life and customs -- Fiction,1
825,3,Canada -- Fiction,
828,3,Fiction,
829,3,Fiction,
833,3,Fiction,
846,3,Fiction,
847,3,Fiction,
850,3,English poetry,
852,3,Questions and answers -- Periodicals,
857,3,Fiction,
858,3,Fiction,
861,3,Fiction,
866,3,Scotland -- Social life and customs -- Fiction,
868,3,Central America -- Fiction,
870,3,"Mozart, Wolfgang Amadeus, 1756-1791",
871,3,Scotland -- Social life and customs -- Fiction,
873,3,"Beethoven, Ludwig van, 1770-1827",
876,3,History -- Periodicals,
877,3,Yachting -- Fiction,
880,3,Animals -- Pictorial work,
882,3,"Richelieu, Armand Jean du Plessis, duc de, 1585-1642 -- Fiction",
884,3,"Children's periodicals, American",
